key	aliases	layers	input	notes
KC_NO	XXXXXXX			
KC_TRANSPARENT	KC_TRNS, _______			
KC_A				
KC_B				
KC_C				
KC_D				
KC_E				
KC_F				
KC_G				
KC_H				
KC_I				
KC_J				
KC_K				
KC_L				
KC_M				
KC_N				
KC_O				
KC_P				
KC_Q				
KC_R				
KC_S				
KC_T				
KC_U				
KC_V				
KC_W				
KC_X				
KC_Y				
KC_Z				
KC_1				
KC_2				
KC_3				
KC_4				
KC_5				
KC_6				
KC_7				
KC_8				
KC_9				
KC_0				
KC_ENTER	KC_ENT			
KC_ESCAPE	KC_ESC			
KC_BACKSPACE	KC_BSPC			
KC_TAB				
KC_SPACE	KC_SPC			
KC_MINUS	KC_MINS			
KC_EQUAL	KC_EQL			
KC_LEFT_BRACKET	KC_LBRC			
KC_RIGHT_BRACKET	KC_RBRC			
KC_BACKSLASH	KC_BSLS			
KC_NONUS_HASH	KC_NUHS			
KC_SEMICOLON	KC_SCLN			
KC_QUOTE	KC_QUOT			
KC_GRAVE	KC_GRV			
KC_COMMA	KC_COMM			
KC_DOT				
KC_SLASH	KC_SLSH			
KC_CAPS_LOCK	KC_CAPS			
KC_F1				
KC_F2				
KC_F3				
KC_F4				
KC_F5				
KC_F6				
KC_F7				
KC_F8				
KC_F9				
KC_F10				
KC_F11				
KC_F12				
KC_PRINT_SCREEN	KC_PSCR			
KC_SCROLL_LOCK	KC_SCRL, KC_BRMD			
KC_PAUSE	KC_PAUS, KC_BRK, KC_BRMU			
KC_INSERT	KC_INS			
KC_HOME				
KC_PAGE_UP	KC_PGUP			
KC_DELETE	KC_DEL			
KC_END				
KC_PAGE_DOWN	KC_PGDN			
KC_RIGHT	KC_RGHT			
KC_LEFT				
KC_DOWN				
KC_UP				
KC_NUM_LOCK	KC_NUM			
KC_KP_SLASH	KC_PSLS			
KC_KP_ASTERISK	KC_PAST			
KC_KP_MINUS	KC_PMNS			
KC_KP_PLUS	KC_PPLS			
KC_KP_ENTER	KC_PENT			
KC_KP_1	KC_P1			
KC_KP_2	KC_P2			
KC_KP_3	KC_P3			
KC_KP_4	KC_P4			
KC_KP_5	KC_P5			
KC_KP_6	KC_P6			
KC_KP_7	KC_P7			
KC_KP_8	KC_P8			
KC_KP_9	KC_P9			
KC_KP_0	KC_P0			
KC_KP_DOT	KC_PDOT			
KC_NONUS_BACKSLASH	KC_NUBS			
KC_APPLICATION	KC_APP			
KC_KB_POWER				
KC_KP_EQUAL	KC_PEQL			
KC_F13				
KC_F14				
KC_F15				
KC_F16				
KC_F17				
KC_F18				
KC_F19				
KC_F20				
KC_F21				
KC_F22				
KC_F23				
KC_F24				
KC_EXECUTE	KC_EXEC			
KC_HELP				
KC_MENU				
KC_SELECT	KC_SLCT			
KC_STOP				
KC_AGAIN	KC_AGIN			
KC_UNDO				
KC_CUT				
